ETA,VIN,Year,Model,Hold Status,Pre-Sold,Shipping Status,Total MSRP,Exterior Color,Interior Color,Distance,Dealer,Dealer Website,SmartPath,Options
2024-11-23,5TDBSKFC4SS44D322,2025,Sienna LE,DealerHold,True,Factory to port,45405,Celestial Silver Metallic,Gray Woven Fabric,9,Rohrich Toyota,https://www.rohrichtoyota.com,True,50 State Emissions | All-Weather LIners  without Vacuum and FridgeBox™ Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Body Side Moldings[installed_msrp] | Door Sill Protectors[installed_msrp] | LE Plus Package | Roof Rack Cross Bars[installed_msrp] | Tri-Fold Cargo Liner[installed_msrp]
2024-11-08,5TDBSKFC8SS157386,2025,Sienna LE,Available,False,Port to dealer,44595,Magnetic Gray Metallic,Gray Woven Fabric,18,Cochran Toyota,https://www.cochrantoyota.com,False,50 State Emissions | All-Weather LIners  without Vacuum and FridgeBox™ Package[installed_msrp] | LE Plus Package
Unknown,5TDBSKFC8SS48B703,2025,Sienna LE,,False,Factory to port,45994,Celestial Silver Metallic,Gray Woven Fabric,60,Allegheny Toyota,https://www.alleghenytoyotapa.com,True,"50 State Emissions | All-Weather LIners  without Vacuum and FridgeBox™ Package[installed_msrp] | Body Side Moldings[installed_msrp] | Illuminated Door Sills[installed_msrp] | LE Plus Package | Mudguards | Paint Protection Film: Hood, Fenders, Mirror Backs and Door Cups[installed_msrp] | Roof Rack Cross Bars[installed_msrp]"
Unknown,5TDCRKEC4RS224996,2024,Sienna XSE,DealerHold,False,At dealer,52099,Blueprint,Black Leather,79,Toyota of North Canton,https://www.toyotaofnorthcanton.com,False,1500W inverter [120v_cargo] | 50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Body Side Moldings[installed_msrp] | Door Sill Protectors[installed_msrp] | Mudguards[installed_msrp] | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | XSE Premium Package
2024-11-21,5TDCRKEC5SS46D175,2025,Sienna XSE,,False,Factory to port,52815,Ice Cap,Black leather-trimmed,87,Ken Ganley Toyota Akron,https://www.kenganleytoyotaakron.com,True,1500W inverter [120v_cargo] | 50 State Emissions | All-Weather LIners  without Vacuum and FridgeBox™ Package[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Spare tire | XSE Premium Package
2024-11-06,5TDCSKFC0SS43D035,2025,Sienna XSE,Available,False,Factory to port,54613,Ice Cap,Black leather-trimmed,87,Ken Ganley Toyota Akron,https://www.kenganleytoyotaakron.com,True,"1500W inverter [120v_cargo] | 50 State Emissions | All-Weather LIners  without Vacuum and FridgeBox™ Package[installed_msrp] | Body Side Moldings[installed_msrp] | Mudguards | Paint Protection Film: Hood, Fenders, Mirror Backs and Door Cups[installed_msrp] | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | XSE Premium Package"
2024-11-22,5TDCSKFC2SS45B617,2025,Sienna XSE,,True,Factory to port,53924,Magnetic Gray Metallic,Black leather-trimmed,48,Toyota of Boardman,https://www.toyotaofboardman.com,True,1500W inverter [120v_cargo] | 50 State Emissions | All-Weather LIners  without Vacuum and FridgeBox™ Package[installed_msrp] | Mudguards | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | XSE Premium Package
2024-11-25,5TDCSKFC2SS45C413,2025,Sienna Woodland Edition,Available,False,Factory to port,52789,Midnight Black Metallic,Black Softex®,9,Rohrich Toyota,https://www.rohrichtoyota.com,True,50 State Emissions | Body Side Moldings | Mudguards | Paint Protection Film | Quick Charge Cable | WOODLAND EDITION
2024-12-13,5TDCSKFC4SS47C498,2025,Sienna Woodland Edition,,False,Factory to port,52864,Cement,Black Softex®,9,Rohrich Toyota,https://www.rohrichtoyota.com,True,"50 State Emissions | Body Side Moldings[installed_msrp] | Emergency Assistance Kit[installed_msrp] | Mudguards | Paint Protection Film: Hood, Fenders, Mirror Backs and Door Cups[installed_msrp] | Quick Charging Cable Package[installed_msrp] | WOODLAND EDITION"
Unknown,5TDCSKFC6SS155575,2025,Sienna XSE,,False,At dealer,53924,Midnight Black Metallic,Black leather-trimmed,48,Toyota of Boardman,https://www.toyotaofboardman.com,True,1500W inverter [120v_cargo] | 50 State Emissions | All-Weather LIners  without Vacuum and FridgeBox™ Package[installed_msrp] | Mudguards | Owner's Portfolio | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | XSE Premium Package
Unknown,5TDCSKFC6SS155785,2025,Sienna XSE,,True,At dealer,54005,Ice Cap,Black leather-trimmed,30,Toyota of Greensburg,https://www.toyotaofgreensburg.com,True,1500W inverter [120v_cargo] | 50 State Emissions | All-Weather LIners  without Vacuum and FridgeBox™ Package[installed_msrp] | Integrated Dashcam[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | XSE Premium Package
2024-11-25,5TDCSKFC7SS45D122,2025,Sienna Woodland Edition,,False,Factory to port,52900,Cement,Black Softex®,48,Toyota of Boardman,https://www.toyotaofboardman.com,True,50 State Emissions | Connected Services Trial Offering: 2 addtl yrs of Drive Connect & Remote Connect. In addition to 1 yr standard trials. Remote incl at no extra cost. 4G network dependent. Terms apply | Illuminated Door Sills | Mudguards | Owner's Portfolio | Quick Charge Cable | UV Sunshade (Windshield) - Toyota Emblem | WOODLAND EDITION
Unknown,5TDCSKFC9RS153927,2024,Sienna XSE,DealerHold,False,At dealer,53464,Blueprint,Black Leather,91,Summit Toyota of Akron,https://www.summittoyotaofakron.com,True,1500W inverter [120v_cargo] | 50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Body Side Moldings[installed_msrp] | Illuminated Door Sills[installed_msrp] | Integrated Dashcam[installed_msrp] | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | XSE Premium Package
2024-11-19,5TDCSKFCXSS44B868,2025,Sienna Woodland Edition,DealerHold,True,Factory to port,52865,Cement,Black Softex®,9,Rohrich Toyota,https://www.rohrichtoyota.com,True,50 State Emissions | Body Side Moldings[installed_msrp] | Connected Services Trial Offering 2 addtl | Illuminated Door Sills | Owner's Portfolio | Quick Charging Cable Package[installed_msrp] | WOODLAND EDITION
2024-12-13,5TDCSKFCXSS48B688,2025,Sienna XSE,,True,Factory to port,53984,Cement,Black leather-trimmed,48,Toyota of Boardman,https://www.toyotaofboardman.com,True,1500W inverter [120v_cargo] | 50 State Emissions | All-Weather LIners  without Vacuum and FridgeBox™ Package[installed_msrp] | Cargo Net with Pouch[installed_msrp] | Cargo Tote[installed_msrp] | Mudguards | Owner's Portfolio | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | XSE Premium Package
2024-11-19,5TDDRKEC5SS43C240,2025,Sienna XSE,DealerHold,False,Factory to port,50349,Celestial Silver Metallic,Black Softex®,11,Baierl Toyota,https://www.baierltoyota.com,True,1500W inverter [120v_cargo] | 50 State Emissions | All-Weather LIners  without Vacuum and FridgeBox™ Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Body Side Moldings[installed_msrp] | Mudguards | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | XSE Plus Package
2024-11-17,5TDDRKEC8SS44D104,2025,Sienna XSE,,False,Factory to port,50768,Cement,Cool Gray Softex®,2,Jim Shorkey Toyota,https://www.jimshorkeytoyota.com,True,"1500W inverter [120v_cargo] | 50 State Emissions | All-Weather LIners  without Vacuum and FridgeBox™ Package[installed_msrp] | Body Side Moldings[installed_msrp] | Mudguards | Paint Protection Film: Hood, Fenders, Mirror Backs and Door Cups[installed_msrp] | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | XSE Plus Package"
2024-11-02,5TDDSKFC0SS156175,2025,Sienna XSE,DealerHold,False,Port to dealer,51150,Ruby Flare Pearl [extra_cost_color],Cool Gray Softex®,54,Diehl Toyota of Hermitage,https://www.diehltoyotaofhermitage.com,False,1500W inverter [120v_cargo] | 50 State Emissions | All-Weather LIners  without Vacuum and FridgeBox™ Package[installed_msrp] | Premium Paint | Roof Rack Cross Bars[installed_msrp] | XSE Plus Package
Unknown,5TDDSKFC0SS46C670,2025,Sienna XSE,DealerHold,False,Factory to port,51893,Midnight Black Metallic,Cool Gray Softex®,11,Baierl Toyota,https://www.baierltoyota.com,True,"1500W inverter [120v_cargo] | 50 State Emissions | All-Weather LIners  without Vacuum and FridgeBox™ Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Body Side Moldings[installed_msrp] | Cargo Tray[installed_msrp] | Mudguards | Paint Protection Film: Hood, Fenders, Mirror Backs and Door Cups[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Spare tire | XSE Plus Package"
2024-10-31,5TDDSKFC3SS155456,2025,Sienna XSE,DealerHold,False,Port to dealer,50744,Blueprint,Cool Gray Softex®,60,Allegheny Toyota,https://www.alleghenytoyotapa.com,True,1500W inverter [120v_cargo] | 50 State Emissions | All-Weather LIners  without Vacuum and FridgeBox™ Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | XSE Plus Package
